Ckey,Call_Num,Symph_Bar,Druid,Purl,Title
3884473,"G7400 S1500 .U5 IV-21,22",36105022531243,mw456pr3197,https://purl.stanford.edu/mw456pr3197,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 V-12,36105022531250,jc284gv8632,https://purl.stanford.edu/jc284gv8632,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 V-13,36105022531268,dy606fx7724,https://purl.stanford.edu/dy606fx7724,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 V-14,36105022531276,gq032nh9288,https://purl.stanford.edu/gq032nh9288,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 V-15,36105022531284,jc934zx4112,https://purl.stanford.edu/jc934zx4112,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 V-16,36105022531292,xz445fy3352,https://purl.stanford.edu/xz445fy3352,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 V-17,36105022531300,wb437jc3125,https://purl.stanford.edu/wb437jc3125,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 V-18,36105022531318,kx066xc1363,https://purl.stanford.edu/kx066xc1363,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 V-19,36105022531326,wv802bs6809,https://purl.stanford.edu/wv802bs6809,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 V-20,36105019903488,kc910hg4613,https://purl.stanford.edu/kc910hg4613,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 V-21,36105019903470,xv475cj9631,https://purl.stanford.edu/xv475cj9631,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 V-22,36105019903462,sp969jy8944,https://purl.stanford.edu/sp969jy8944,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 VI-12,36105019903454,tv034gd1680,https://purl.stanford.edu/tv034gd1680,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 VI-13,36105019903447,sx405zk4250,https://purl.stanford.edu/sx405zk4250,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 VI-14,36105019903439,mb837jp8641,https://purl.stanford.edu/mb837jp8641,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 VI-15,36105019903421,sv036wx7037,https://purl.stanford.edu/sv036wx7037,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 VII-12,36105019903413,gz600xf5401,https://purl.stanford.edu/gz600xf5401,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 VII-13,36105019903405,nj022mr0958,https://purl.stanford.edu/nj022mr0958,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 VII-14,36105019903397,jt059fv0768,https://purl.stanford.edu/jt059fv0768,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 VIII-8,36105019903389,km811ht4212,https://purl.stanford.edu/km811ht4212,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 VIII-9,36105019903371,vy355fn3211,https://purl.stanford.edu/vy355fn3211,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 VIII-10,36105019903595,wr635vx5512,https://purl.stanford.edu/wr635vx5512,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 VIII-11,36105019903496,yc908dj1763,https://purl.stanford.edu/yc908dj1763,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 VIII-12,36105019903504,zn728ns3674,https://purl.stanford.edu/zn728ns3674,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 VIII-13,36105019903512,dn216zn0627,https://purl.stanford.edu/dn216zn0627,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 IX-8,36105019903520,fm268rz6026,https://purl.stanford.edu/fm268rz6026,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 IX-9,36105001174668,sb234vj4574,https://purl.stanford.edu/sb234vj4574,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 IX-10,36105022498187,qp875zp1778,https://purl.stanford.edu/qp875zp1778,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 IX-11,36105019903538,mz999mw0476,https://purl.stanford.edu/mz999mw0476,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 IX-12,36105019903546,qk672pp9382,https://purl.stanford.edu/qk672pp9382,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 IX-13,36105019903553,hy831mb8277,https://purl.stanford.edu/hy831mb8277,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 X-11,36105019903561,qq047vr7873,https://purl.stanford.edu/qq047vr7873,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 X-12,36105019903587,gf911qy3706,https://purl.stanford.edu/gf911qy3706,"Asia 1:1,500,000"
3884473,G7400 S1500 .U5 X-13,36105019903579,hh316jx5687,https://purl.stanford.edu/hh316jx5687,"Asia 1:1,500,000"
